article_id,question_id,part_id,question_number,article_number,article_title,citation_label,parse_status,segment_count,segment_types,missing_segment_types,char_count,warning_types,suspiciously_short,source_url
st.i-ii.q012.a005,st.i-ii.q012,i-ii,12,5,Is intention within the competency of irrational animals?,I-II q.12 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1225,[],False,https://www.newadvent.org/summa/2012.htm#article5
st.i-ii.q013.a001,st.i-ii.q013,i-ii,13,1,Of what power is it the act of the will or of the reason?,I-II q.13 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2298,[],False,https://www.newadvent.org/summa/2013.htm#article1
st.i-ii.q013.a002,st.i-ii.q013,i-ii,13,2,Is choice to be found in irrational animals?,I-II q.13 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2665,[],False,https://www.newadvent.org/summa/2013.htm#article2
st.i-ii.q013.a003,st.i-ii.q013,i-ii,13,3,"Is choice only the means, or sometimes also of the end?",I-II q.13 a.3,ok,3,"[""resp"", ""ad"", ""ad""]",[],1582,[],False,https://www.newadvent.org/summa/2013.htm#article3
st.i-ii.q013.a004,st.i-ii.q013,i-ii,13,4,Is choice only of things that we do ourselves?,I-II q.13 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1384,[],False,https://www.newadvent.org/summa/2013.htm#article4
st.i-ii.q013.a005,st.i-ii.q013,i-ii,13,5,Is choice only of possible things?,I-II q.13 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2600,[],False,https://www.newadvent.org/summa/2013.htm#article5
st.i-ii.q013.a006,st.i-ii.q013,i-ii,13,6,Does man choose of necessity or freely?,I-II q.13 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2171,[],False,https://www.newadvent.org/summa/2013.htm#article6
st.i-ii.q014.a001,st.i-ii.q014,i-ii,14,1,Is counsel an inquiry?,I-II q.14 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2684,[],False,https://www.newadvent.org/summa/2014.htm#article1
st.i-ii.q014.a002,st.i-ii.q014,i-ii,14,2,Is counsel of the end or of the means?,I-II q.14 a.2,ok,3,"[""resp"", ""ad"", ""ad""]",[],1031,[],False,https://www.newadvent.org/summa/2014.htm#article2
st.i-ii.q014.a003,st.i-ii.q014,i-ii,14,3,Is counsel only of things that we do?,I-II q.14 a.3,ok,5,"[""resp"", ""ad"", ""ad"", ""ad"", ""ad""]",[],2149,[],False,https://www.newadvent.org/summa/2014.htm#article3
